YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,condition,updated
2012,146,135,121,107,173,180,205,230,170,219,171,134,1991,073,"1 June, 2020"
2013,133,122,127,128,152,172,189,203,215,213,263,217,2134,073,"1 June, 2020"
2014,182,116,201,155,161,172,146,184,221,192,198,184,2112,073,"1 June, 2020"
2015,170,199,167,166,195,187,209,253,220,240,235,248,2489,073,"1 June, 2020"
2016,182,183,231,171,203,235,276,296,251,280,400,322,3030,073,"1 June, 2020"
2017,255,190,271,194,223,253,261,296,303,305,308,313,3172,073,"1 June, 2020"
2018,230,265,302,238,298,376,365,507,625,492,415,487,4600,073,"1 June, 2020"
2019,287,267,342,270,286,348,431,476,432,445,458,347,4389,073,"1 June, 2020"
2020,313,247,175,71,63,0,0,0,0,0,0,0,869,073,"1 June, 2020"
2006,41,66,69,52,62,60,91,121,126,167,159,167,1181,074,"1 June, 2020"
2007,182,151,149,121,140,115,112,99,127,128,142,118,1584,074,"1 June, 2020"
2008,198,194,177,179,169,168,179,149,186,233,263,261,2356,074,"1 June, 2020"
2009,261,259,223,202,258,293,208,225,212,189,227,231,2788,074,"1 June, 2020"
2010,259,240,283,222,247,272,229,239,223,279,294,266,3053,074,"1 June, 2020"
2011,376,334,317,275,344,284,363,333,325,361,364,356,4032,074,"1 June, 2020"
2012,366,378,354,374,399,351,359,356,373,443,380,393,4526,074,"1 June, 2020"
2013,400,397,407,431,473,367,370,375,398,498,411,481,5008,074,"1 June, 2020"
2014,440,507,465,433,475,457,460,408,460,427,474,522,5528,074,"1 June, 2020"
2015,532,528,543,545,539,523,522,484,479,590,550,531,6366,074,"1 June, 2020"
2016,583,612,608,537,638,561,578,651,630,677,705,732,7512,074,"1 June, 2020"
2017,740,685,782,674,774,677,721,715,740,804,747,1190,9249,074,"1 June, 2020"
2018,1111,1064,1452,1063,1156,1312,1060,1061,1327,1077,1095,1354,14132,074,"1 June, 2020"
2019,1078,1076,1187,1055,1084,1126,1414,1346,1376,1561,1420,1343,15066,074,"1 June, 2020"
2020,1477,1346,750,570,460,0,0,0,0,0,0,0,4603,074,"1 June, 2020"
2006,297,283,301,255,311,305,391,305,314,323,371,309,3765,075,"1 June, 2020"
2007,348,367,346,306,327,292,383,376,318,412,418,360,4253,075,"1 June, 2020"
2008,326,330,294,341,303,317,375,339,394,422,483,468,4392,075,"1 June, 2020"
2009,587,622,661,576,615,578,613,541,573,710,676,622,7374,075,"1 June, 2020"
2010,635,630,691,623,651,667,699,690,699,711,756,646,8098,075,"1 June, 2020"
2011,694,624,697,644,642,709,694,753,734,765,818,762,8536,075,"1 June, 2020"
2012,744,801,716,755,757,747,735,785,721,853,891,817,9322,075,"1 June, 2020"
2013,862,841,826,839,858,773,1016,969,998,1095,995,994,11066,075,"1 June, 2020"
2014,1044,970,1016,937,972,927,976,1014,1068,1149,1025,1018,12116,075,"1 June, 2020"
2015,1029,1017,1107,1057,1107,1152,1178,1109,1103,1197,1269,1198,13523,075,"1 June, 2020"
2016,1207,1298,1353,1251,1313,1258,1273,1434,1233,1307,1404,1260,15591,075,"1 June, 2020"
2017,1398,1300,1385,1132,1424,1368,1337,1395,1332,1471,1405,774,15721,075,"1 June, 2020"
2018,1161,1070,759,1138,1178,766,1245,1261,818,1304,1264,898,12862,075,"1 June, 2020"
2019,1289,1180,1288,1211,1337,1119,969,997,975,1011,951,981,13308,075,"1 June, 2020"
2020,985,1117,1764,1416,930,0,0,0,0,0,0,0,6212,075,"1 June, 2020"
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,036,"1 June, 2020"
2001,0,0,3,0,2,0,0,0,0,0,0,0,5,060,"1 June, 2020"
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,060,"1 June, 2020"
2003,0,2,3,1,0,0,0,0,1,1,1,0,9,060,"1 June, 2020"
2004,1,3,0,0,0,0,0,0,0,1,0,1,6,060,"1 June, 2020"
2005,0,1,0,0,0,0,0,0,0,0,0,0,1,060,"1 June, 2020"
2006,0,0,1,2,0,0,0,0,0,0,0,0,3,060,"1 June, 2020"
2007,0,0,0,0,0,0,0,0,0,1,0,0,1,060,"1 June, 2020"
2008,0,0,0,0,0,0,1,0,0,0,0,0,1,060,"1 June, 2020"
2009,0,1,1,0,0,0,0,0,0,0,0,0,2,060,"1 June, 2020"
2010,0,1,0,0,0,1,0,0,0,0,0,0,2,060,"1 June, 2020"
2011,0,0,0,1,0,0,0,0,0,0,0,1,2,060,"1 June, 2020"
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,060,"1 June, 2020"
2013,0,0,0,0,0,0,0,0,0,1,1,0,2,060,"1 June, 2020"
2014,0,0,0,1,0,0,0,0,0,0,0,0,1,060,"1 June, 2020"
2015,0,0,0,0,0,0,0,0,0,1,0,0,1,060,"1 June, 2020"
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,060,"1 June, 2020"
2017,0,0,0,2,1,1,1,0,0,0,0,0,5,060,"1 June, 2020"
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,060,"1 June, 2020"
2019,0,0,0,0,0,1,0,0,0,0,1,0,2,060,"1 June, 2020"
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,060,"1 June, 2020"
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,041,"1 June, 2020"
